id,text
42,Mais tu te rends compte de qui on parle? De ce qu'il a fait?
43,(pensant que c’est à elle qu’Elisabeth
44,"Ça va, c'est Babou! Tu sais bien qu'elle pique ce genre de crise depuis qu'elle a 8 ans et demi.."
45,"L'harissa, à ton avis, je la mets dans la sauce ou à part?"
46,Tu as entendu ce que je viens de dire?
47,"Alors c'était comment, mon amour, avec les Japonais?"
48,"Eh ben voilà je sais pas quand je viens, mais je sais quand je viens pas"
49,Oui c'est plutôt une petite moue..
50,Ce n'est pas ce que je voulais dire
51,"Ce n'était pas contre toi, c'était son secret, c'est tout, il lui fallait sûrement un peu de temps.."
52,"Je m'en souviens parfaitement, tout le monde s'en souvient parfaitement, Vincent"
53,Et du plus grand tyran de tous les temps
54,"Le chien de Bibiche, oui et alors?"
55,"Vous vous amusez, vous faites semblant"
56,"En tout cas, j’espère que tu vas pas l'appeler Henri, comme papa et Grand-Père?"
57,Tu aurais mon fric ça serait pareil
58,Mais vous êtes consternants! Je ne sais plus quoi dire devant tant de clichés et de bêtises..
59,Mais moi il m'a plus déplu que surpris
60,"Aristote y était aussi, c’est juste qu’il en est pas sorti !"
61,Ah ben tu es bien le seul à ne pas le savoir!
62,Ce qui est horrible c'est que Vincent se soit dénoncé à ma place
63,Mais il ne l’a pas fait
64,"Nous, on avait hésité avec Aurélio"
65,D'accord mais qui a envie d'acheter un slip de bain au mois de mars?
66,"Et puis tu serais tout près de la Castide, ça ferait plaisir à Françoise"
67,À l'époque tu nous disais que c'était un quartier de drogués et d'immigrés
68,"Que Vincent ait pu avoir cette idée à la rigueur je comprends, mais toi! Toi ça me dépasse!"
69,"Balance ascendant balance, Claude est à l’image de son signe astrologique, d’une douce humeur toujours égale.."
70,On gagne quoi si on trouve?
71,Comment ça qui existe? Apollin et Myrtille existent aussi puisqu'on les a appelés comme ça
72,C'est sûr que les morceaux de bois ça n'a pas dû te ruiner
73,"Une queen, une cocotte, une mignonne, une tata si tu préfères! Tu as compris, là?"
74,Je suis peut-être pas obligée de me lever tout le temps
75,Mais où est-ce que je les ai foutues...?!
76,Je ne peux pas appeler mon fils Adolphe
77,J’essaye de penser à autre chose
78,Tu le savais toi que Gary Grant était homosexuel?
79,"En tant que maîtresse je ne sais pas, mais en tant que Tante, c’est sûr je ne pourrais pas"
80,"J’ai essayé, c’était tout le temps occupé!"
81,"Apollin, lui, aime Zorro, les pizzas, les Playmobils et le tennis et a été propre très tard.."
82,"Sinon il faut tout garder, et au bout de trois générations on aura des cartes d'identité de 600 grammes"
83,"Parfait, ça fera office de Sidi-Brahim"
84,Je vois que le niveau de la conversation s'est élevé
85,"Ah mais cette partie de la phrase, j'avais bien compris.."
86,Elle veut savoir quand est-ce que tu viens
87,"Tu es une personne absolument, parfaitement obsédée par elle même"
88,"Je ne sais pas, tu as peut-être d'autres révélations à me faire?"
89,On comprend pourquoi les Bédouins mangent sans leurs femmes
90,"Pourquoi veux-tu que j’apprenne toutes les stations de métro par coeur, je ne le prends jamais"
91,"Tu sais, Vincent, tu peux même venir quand on est là.."
92,Sinon on arrête tout de suite
93,"Je ne veux pas savoir! Vous n'avez pas voulu m'attendre, tant pis"
94,Tu pourras toujours en faire un Mikado!
95,"La référence?! Eh bien c'est la référence qui nous a déplu, Anna"
96,Tu viens d’en renverser 10 euros!
97,"Je ne veux pas savoir, ça ne m'intéresse plus"
98,Remonter sur cinquante mètres la rue Saint-Georges..
99,"Il faudra que vous y alliez, je suis sûr que ça vous plairait Pierre"
100,"J’en sais rien, elle mange jamais rien!"
101,"Il n'est pas, en quelque sorte"
102,Ils ont mis des tables au bord de l’eau
103,"...Elle connaît la date d'Austerlitz! Ah ça, ça a du bon les écoles de bonnes soeurs"
104,"Il en dit que les Hommes ont eu la surprise de la naissance pendant des millénaires, non?"
105,Quand tu étais dans la cuisine
106,Qui va me demander pardon à moi?
107,"Ah non, ni blonde, ni rien, il est complètement chauve"
108,Pourquoi j'irais voir les Rozenthal? Ils ne sont pas venus me consulter à la naissance de leurs enfants!
109,"Allez Aristote, sors de ta caverne"
110,"Tu sais, je pourrais facile t'en avoir 8000 du mètre"
111,Je vais t'aider parce que là..
112,Je crois que je vais aller voir Babou
113,Eh bien je vais te le dire quand même
114,"“De son amant fidèle, pour lui comme pour elle, je suis un nain”"
115,Je comprends mieux pourquoi Françoise ne voulait rien vous dire
116,Mais elle s'écoute quand elle parle?!
117,Je comprends que ça puisse être difficile à accepter
118,"C’est ça, joue sur les mots Pierre Garaud"
119,"Toi qui représente la quintessence, le concentré le plus pur, la substantifique moelle de l'égoïsme"
120,"Deux auteurs français morts seuls, pauvres et abandonnés"
121,"Coucou ma Babou! Alors, c’était comment ton petit buffet?"
122,"Il appelle son fils Adolf, et il parle de mode ridicule!"
123,Tu ne supportes pas de ne pas être le centre de tout
124,"Je leur disais de vous faire confiance, que vous comprendriez.."
125,"tu portes du orange -qui porte du orange, à part à Guantanamo?.."
126,"Il faut chercher ses références, ses goûts, ce qu'il aime.."
127,Ah non! Je n'ai jamais dit que..
128,"Ce moment où ça a commencé, où tu l'as remarqué"
129,"Je veux qu'il te fasse de vraies excuses, et crois moi il va le faire"
130,On ne dit pas “C’est dégueulasse”
131,Vincent je comprends que vous soyez blessés
132,"Ah, parce que d'après toi il y a des prénoms autorisés et des prénoms interdits?"
133,"Aussi loin qu'on s'en souvienne, Elisabeth a toujours été comme ça.."
134,"Claude n'est pas coléreux, il n'est pas fantasque, il n'est pas malhonnête"
135,Même si un maillot de bain n'est pas forcément un slip de bain
136,"Mais qu'est-ce que ça peut lui foutre? De toute façon, elle y est tout le temps"
137,Tu veux que je ferme les fenêtres?
138,Nous on ne savait pas pour le sexe
139,"C'est toi qui as raison, Pierre"
140,Ce n'est absolument pas ce qu'il voulait dire
141,TON pédopsychiatre a dit qu'il fallait le laisser pleurer
142,Tout ça ne méritait pas qu'on s'engueule
143,"Il a coulé comme une pierre dans l'eau noire, il y a eu quelques bulles et puis plus rien"
144,Radin? C'est tout ce qui te vient?
145,"Vincent, tu ne vas pas appeler ton fils ADOLPHE, t’es pas sérieux"
146,Il fallait la voir de près pour l’apprécier
147,"Hein? Tu vas me demander pardon, Pierre?"
148,"Mais si, je l’emmerde! J'appelle mon fils comme je veux!"
149,"“Pour chasser une mouche, quand je pose ma bouche, sur son sein brun.”"
150,Je viens d'apercevoir le livre dans la bibliothèque
151,Je n'ai pas très envie d'en parler avec toi ce soir
152,"Quoi ""tu l'as su""? Ça veut dire quoi cette phrase? T'es médium maintenant?"
153,"Babou s'est lancée dans un ""buffet Marocain"""
154,Il n'y a pas de match nul au tennis
155,Qu'elle se démerde toute seule pour une fois! On va bien se marrer!
156,J'aime bien quand tu me parles comme à un attardé mental
157,"Babou, va chercher ton camescope! Il faut filmer là!"
158,"Ah non Claude, comme une Reine-Claude"
159,Je leur ai fait croire que nous voulions appeler notre fils Adolf
160,"Non, ça va pas du tout"
161,Mais «tous les philosophes ne sont-ils pas de la même époque?»
162,"En langage Claude ça veut dire ""t'es une sacrée pince mon Pierrot"""
163,"Non pas celui-là, l’autre : la Société des Amis de Montaigne Universitaire"
164,Est-ce que l'un de vous a au moins félicité Babou pour son dîner?
165,Tu as le droit de changer d'avis
166,Je n'ai jamais bien compris pourquoi on faisait l'été en hiver et l'hiver en été...
167,"Elles sont vraiment magnifiques, fallait pas!"
168,Dis-lui au moins à quel moment tu penses venir
169,"Les petits, c'est Myrtille, 12 ans, et Apollin, 4 ans"
170,Est-ce que quelqu'un veut un thé à la menthe?
171,On en a même une assez précise
172,Non il faut vraiment que vous y alliez
173,C’était pas deux Reginas et une Calzone?
174,Sa capacité à questionner le monde en quête de réponses nouvelles
175,Je ne voulais pas que ça se passe comme ça!
176,Arrête de jouer les assistantes sociales
177,"Babou dit ça parce que ton égoïsme est savant, il n'est pas à la portée du premier venu.."
178,"Allez, sois chouette Vincent, donne un indice.."
179,Tu sais où sont les carafes?
180,"T’as oublié? Ben tant pis, on dînera sans toi"
181,Tu ne vas pas l'appeler Adolf?
182,"Tu penses que je suis homosexuel, c'est ça?"
183,Je dirais que c'est un prénom qui existe
184,"Ah oui, mais Joseph c'est pas possible.."
185,"Tu sais Claude, je me sens beaucoup mieux depuis que j'ai avoué pour Moka"
186,On peut également prendre le métro
187,"Friedland et Iéna, je ne dis pas, mais Austerlitz!"
188,Tu vaux mieux que ces deux crétins
189,Pour les gens AdolPHE n'existe plus
190,"Vraiment! On trouve qu'Apollin et Myrtille, c'est mignon, c’est très mignon!"
191,Vous n’avez pas commandé de pizzas?
192,Tu trouves que Garaud-Larchet c'est ridicule?
193,Tu n'as jamais eu envie de faire du théâtre?
194,"À partir de maintenant, tu sais ce que tu fais"
195,Ça je peux te le dire
196,Je peux écrire sur le cahier de texte de Myrtille?..
197,"Arrête Vincent, tu te tortures, c'est débile"
198,"Et si moi, je ne suis pas d'accord?"
199,À cinq mois de grossesse c'est plus marrant
200,Ça dépend si c'est pour boire ou se laver les mains
201,Madame est servie! Tu peux aller me chercher les pitas?
202,Je suis désolée mais je l’appellerai autrement
203,Imagine à l’école! Déjà qu’il sera tout petit..
204,On ne peut pas faire abstraction des autres
205,"Quadragénaire flamboyant, portant le velours côtelé comme une seconde peau, Pierre est un homme qui en impose"
206,ACHILLE! Je suis sûre que c'est Achille!
207,Elle s'est donnée un mal de chien pour faire ce repas
208,"Tu vois, tu vois, comme il est? Et bien à 13 ans il était pareil, il m'a pris au piège"
209,"Ah ça oui alors vous êtes deux! Et pour être deux, vous êtes deux! Et puis pas n'importe qui, hein!"
210,Parce que tu leur as dit?
211,"Ma fille, ta nièce, TA filleule a un prénom anormal? Ça veut dire quoi normal Vincent Larchet?"
212,On est peut être pas obligé d'en parler maintenant
213,Il a un prénom ridicule et il est moche?
214,"Tu préfères quand je suis puéril, égocentrique et que je fais des grimaces?"
215,Tu vas t'y mettre toi aussi?
216,"Vous m'aidez pas beaucoup, vous devez être nul au petit bac.."
217,"C'est bien ça la règle Pierre, non? Alors, au revoir Joseph.."
218,Mais pourquoi tu ne veux pas qu'il nous le dise?
219,"Tant que tu es dans le dico, regarde donc à ""R"""
220,Quoi? Ça te pose un problème? ..
221,Même si toutes les batailles ne peuvent être gagnées..
222,"Non, parce que si je dois changer, que je ne me trompe pas encore une fois"
223,"Je suis plutôt slip, c'est vrai, mais.."
224,"Je ne dirais pas que c'est tout ce qui me vient, mais ça me vient, assez vite, même"
225,"Ben oui, ça te dérange pas?"
226,Tu sais quand même très bien que c'est pas des prénoms normaux
227,Et ça coûte 1495?! Vous vous rendez compte qu’on parle quand même de..
228,Vous avez fait une sacrée affaire
229,"Qu'est ce qu'elles lui trouvent, toutes, à ce mec?!"
230,"Je n’ai pas changé d’avis, mais il ne portera pas le nom d'Anna"
231,Qu'est-ce que tu veux dire d'autre?
232,Ça nous a plus surpris que déplu
233,"Arrête Claude, ne rentre pas dans son jeu"
234,Je ne pourrai jamais appeler mon fils Adolf! Jamais!
235,"Mais c'est juste pour ce soir, alors"
236,"Chérie, est ce que tu as déjà vu Claude autrement qu'en slip?"
237,Vous osez investir dans les quartiers à fort potentiel
238,Tu n'as pas pris un gramme..
239,"Moi, je trouve que Vincent est plutôt généreux"
240,"Je sais pas, je trouve que t’as bien une tête a boire des kirs avec Antoine Flemmadon"
241,Cette grande blonde qui joue aux cartes et qui a épousé ce banquier de Limoges
242,"Je suis désolé, mais je ne suis pas du tout homosexuel"
243,"Peu importe, c’est beau quand même"
244,Regarde ce que tu as fait
245,Ton mari m'a réquisitionné pour sa chasse au trésor
246,"Magnanime, je te donne un indice"
247,"Il t'a pété la gueule, merde! Tu vas peut-être bien mais moi pas"
248,Je suis même très chiant avec le français
249,T'es content toi?! Voilà ce qui se passe quand on choisit ce genre de prénom!!!
250,Oui mais ton Adolphe arrive après l'autre!
251,Qu'est-ce que tu veux? Que je lui demande pardon?
252,"Je suis une pince, n'oublie pas"
253,Tu vois je n’y arrive pas
254,"Vraiment? Parce qu'il y a Carlos aussi, dans la catégorie terroriste.."
255,Comme il a cavalé le Normalien! ..
256,Elle nous a surpris un jour à la Castide
257,"En même temps, je te vois bien avec un prénom classique.."
258,C’est très “déjeuner sur l’herbe” tu vois
259,Un arriviste et une raclure de première
260,Je suis sûr que ça va être pour toi!
261,"C'est pas toi qui parle comme ça, c'est pas possible!"
262,Tu sais dans quel coin tu vas habiter?
263,Je vais les mettre tout de suite dans un vase..
264,"Mais dis-moi, tu dirais qu'Adolphe c'est normal ou original?"
265,"Si elle ne fait pas tout en double, elle a peur de manquer"
266,C'est pas en me disant de me calmer que je vais me calmer…
267,Ah non! Je te la prête
268,Mais si tu persistes à vouloir appeler ton fils comme Hitler..
269,«C’est beau une ville la nuit» a dit un jour Richard Bohringer
270,"Exactement ""qu'est-ce que ça peut faire"""
271,Arrêtez de crier! Vous allez réveiller les enfants!
272,Ah non Pierre! Ça suffit maintenant
273,J'en aime une en tout cas
274,"Alors, est-ce que vous avez des idées de prénom?"
275,"L’oeil rivé vers l’érudition et l’oreille tendue vers le savoir, Pierre est un chercheur infatigable..."
276,"Tu sais, ce type assez con.."
277,J'ai donné un coup de pied au chien et il a volé dans l'étang
278,"Elisabeth et Claude sont de vrais amis, depuis bien longtemps.."
279,Je ne t'ai jamais menti sur nous
280,Je ne pense pas que vous parliez de la même chose..
281,C'est lui qui a commencé? Je rêve! Tu t'entends?..
282,Mais il y a trop de bruit..
283,"Je regarde les matchs sur la ""Rai."""
284,Vous jouez avec les sujets de société comme on joue avec des petites voitures
285,"Puisque tu me le demandes, Apollin s'est rendormi"
286,"Oui, comme on joue au policier ou à la marchande"
287,Comment ça vous savez pas? Ben entrez vous allez voir!
288,"Trois heures de TGV, c'est comme habiter en banlieue"
289,"Tu ne me dénonces pas, hein?"
290,"N'importe quoi, je ne fais pas du tout ça!"
291,"D’ailleurs, maman ne sait plus lire"
292,"Tu as dit : ""un set partout, match nul."" Ça ne veut rien dire"
293,Tout ça parce que j'ai pas voulu partager les fessées!
294,Il m’a demandé comme ami sur Facebook
295,"Evidemment, qu’est-ce que tu crois?! .."
296,Et dans la boîte à chaussures?..
297,"Ne vous inquiétez pas, tout va bien, votre fille va bien"
298,"C’est que, maintenant, vous êtes deux!"
299,Je crois qu'Adolf vient de remporter une nouvelle bataille
300,"On cherche les clés de Pierre, les clés de la cave"
301,Et quand je reviens on explique à Claude pourquoi il ne faut pas qu'il s'installe à Marseille
302,Tu comprends pourquoi j'ai eu 4!
303,Tu n'en as fait qu'à ta tête
304,Mais j'en sais rien! Comment elle veut qu'on sache 8 mois avant?!
305,"Vincent Larchet, donc, une sorte de héros des temps modernes, de corsaire du XXIème siècle.."
306,Tu ne peux plus jouer à celui qui blesse par étourderie
307,"Non mais sans rire, c'est dingue que tu aies deviné!"
308,"Effectivement, moi j'ai le sens des mots et de leur portée"
309,"Bon, allez, ça suffit, on passe à table"
310,"Toi, avec ton attitude simpliste, tu tends à en faire un mythe, une icône indépassable"
311,Le mec qui t'a énervé l'autre jour
312,Tu les veux pas? On les garde..
313,"Françoise, c'est Françoise Larchet, la mère d'Elisabeth et Vincent"
314,C'était une décision qui leur appartenait
315,Ils ont fait un travail incroyable
316,"Je vais finir de préparer la méchouïa, vous m'attendez"
317,Je t'ai mis une assiette de côté
318,Je suis sûr que c’est pour toi
319,Si petit et déjà si riche!
320,T’as qu’à mettre tes boules Quiès!
321,"Oui, oui ne t'inquiète pas, je suis très bien.."
322,"Tu as trouvé mon adjectif, je cherche le tien"
323,Il faut dire ce qui est
324,"Tu me préviens de quoi? Que tu vas me taper dessus, comme sur ton pote?"
325,Laisse ça et viens avec nous
326,Mais tu vas pas y aller?
327,"Vous faites quoi, là? Je peux jouer?"
328,mais il y a de l'idée!
329,Tu sais que t'es assez chiant quand tu t'y mets
330,Je ne t'ai jamais vu en caleçon
331,"Tourner ensuite rue des Martyrs, ça ne s'invente pas.."
332,Ça veut dire qu'elle n'a pas de cours à recevoir! Qu'elle est assez grande pour choisir toute seule
333,Devinez avec qui j'ai pris un verre hier..
334,"Une fois de plus, tu étais Don Quichotte et moi Sancho Pansa"
335,"Chaque année, c'est le même cirque!"
336,"Moi c’est tout vu, le métro, je ne le prends jamais"
337,Mais comment la maîtresse va faire pour l’appeler?
338,Tu veux m'envoyer en prison pour homonymie?
339,Je comprends même que vous puissiez vous sentir trahis
340,Parce que je pensais avoir une bonne dizaine de défauts mais celui-là..
341,Et c'est de toi que j'attends un enfant?
342,Ça changera que je veux savoir depuis quand ma femme me ment
343,Tout doit toujours tourner autour de toi
344,Tu as besoin de prendre des forces
345,Vous vous valez bien tous les deux! Vous monopolisez le dîner depuis toute à l'heure
346,Mais depuis quand tu lis ce que je t'offre?!
347,Ah non! On ne tape pas maman! ON NE TAPE PAS MAMAN!
348,C’est pour moi que tu dis ça?
349,"Vincent n'est pas sot, il ne porte pas son égoïsme à la boutonnière comme une légion d'honneur"
350,Pierre n'est pas du tout une pince
351,"Remarque, s'ils veulent la bouger, va leur falloir un tank"
352,Je crois même que c'est toi qui me l'a offert
353,Et moi si ça me fait plaisir de servir chaud?!
354,"C'est pas une question d'âge, c'est une question de manie"
355,"Ah, parce que tu en es toi aussi? Toi aussi tu trouves que je suis radin?"
356,Parce que tu peux pas dépenser un sou sans y réfléchir à dix fois
357,Je dis juste à Claude que j'aurais aimé être cette personne là..
358,Il aurait pu ajouter “c’est beau aussi le jour”
359,Elle pensait que vous ne comprendriez pas
360,Les même codes que depuis dix ans mon petit vieux
361,"La bonne c'est que c'est un garçon, la mauvaise c'est qu'il est mort"
362,Mille fois j'ai voulu te le dire
363,Alors dis-moi comment s'appelle mon associé?
364,C'est ça qui me tue le plus..
365,Je pense que c'est une sorte de jeu sexuel entre eux
366,"Secrétaire général de la Société d'Histoire Littéraire, membre fondateur du Samu .."
367,La pince est heureuse de t'avoir invité
368,"Si tu ne comprends pas ça, alors je ne peux rien pour toi"
369,"Écoute Vincent, tu te calmes ou tu t'en vas!"
370,Eh bien tu es complètement folle ma pauvre fille!
371,"C’est bien une remarque de mec, ça!"
372,Et nous aussi on la connaît?
373,"Un homme discret, donc, à l'humour feutré, qu'on peut plus facilement décrire par soustraction"
374,"Ce n'est pas un reproche, c'est un constat"
375,Elisabeth a paumé les clefs de la cave
376,"Toi Claude, je ne te dis rien parce que tu sais déjà tout"
377,Adolf Hitler n'est pas devenu Adolf Hitler parce qu'il s'appelait Adolf
378,Monsieur est au-dessus de tout ça
379,Excuse-moi de t'avoir sauvé les fesses!
380,On l’attend sinon elle va se remettre à chanter
381,"Avec le costume de l'orchestre, je suis obligé de porter un slip"
382,"Toujours, peut-être pas, mais ça fait un moment"
383,Je veux dire que vous n'en avez pas parlé sérieusement
384,"OK c'était débile! Vraiment très débile! Je suis con et désolé! Anna, je m'excuse"
385,"Non, tu te calmes et tu restes! C'est toi qui a voulu qu'il parle alors maintenant, on va l'écouter!"
386,"Oui, comme le personnage du roman de Benjamin Constant"
387,Mais tu ne peux pas lui faire ça!
388,"Précisément depuis le cours de danse classique de madame Derveau, où Claude était le seul garçon.."
389,"J'aime les petits serveurs mexicains, moi?"
390,C'est une histoire entre ta mère et ton meilleur ami
391,Non mais c'est bien une référence littéraire
392,"Claude et moi, on est amis depuis 30 ans"
393,Anna s'il te plaît! ) ...Personne n'a dit que vos enfants avaient des prénoms ridicules
394,"Je ne veux pas me mêler de ce qui ne me regarde pas, mais vraiment c'est mauvais pour ton fils"
395,Je ne dirai rien mais je ne mentirai pas non plus
396,Je comprends très bien que tu ne puisses pas comprendre..
397,"Avec un peu de chance, ils n’auront pas d’enfants!"
398,“On” dit ce qu’il veut mais moi je dis “C’est dégueulasse”
399,"Mais pas du tout, pas du tout!"
400,Je ne me contenterai pas de reculer par lâcheté ou par conformisme
401,"Ce qu'il était con ce chien! Tu te souviens, Claude?"
402,Attends c'est quand même avec toi qu'il avait le plus d'affinités
403,"Oh tu sais, c’est rien, c’est que du bois!"
404,Excuse-moi Claude mais qu'est ce qui vaut la peine de s'engueuler?
405,Je me ferai un plaisir de te dénoncer
406,Ce n'était pas à elle de nous le dire
407,"Moka le chien, le chien de Bibiche"
408,Je t'ai posé une question! Tu le savais depuis quand?
409,"De quoi? De très dépensier? Il va dire quelque chose le Suisse, oui ou merde?!"
410,"Je suis sûr que c'est sympa Marseille, au fond"
411,J’avais oublié que c’était une soirée déguisée!
412,"Le 15, c’est l’immeuble à côté"
413,"Je suis content de voir que grâce à moi vous avez trouvé un terrain d'entente, tous les deux"
414,Avoue que ça aurait été moins drôle
415,Pourquoi tu ouvres alors? Polo va encore foutre le camp
416,D'habitude tu ne poses jamais de question
417,"Tu ne dis rien, toi? Tu laisses passer, comme d'habitude"
418,C’est Tonton Claude qui s’est pris les pieds dans la nappe!
419,"Cher, mais non, le département, pas la chanteuse!.."
420,"J'ai dit à Vincent, et si on jetait le chien à l'eau?"
421,"Ni à FRANÇOIS Villon, ni à FRANÇOIS 1er, non"
422,"C’est pas du tout ça Vincent, pas du tout!"
423,Il y a une bonne et une mauvaise nouvelle
424,"Tu vas vraiment appeler ton fils, A...?"
425,"Tu vois quand tu veux, tu peux haïr un peu"
426,"...Et donc tu trouves que j'ai toujours été ""comme ça"""
427,Ben quoi? Pourquoi tu fais cette tête?
428,Un homme qui a foncé dans la vie comme un train dans la nuit jusqu'à sa rencontre avec Anna..
429,Qu’est-ce qui s’est passé mon Cloclo?
430,Qu’est-ce que tu crois… on est bien élevé chez les Larchet!
431,Hé bien dis lui que je pense venir..
432,"Moi c'est tout réfléchi, je suis contre"
433,Qu'est-ce que tu veux savoir Vincent?
434,Y a un truc qui me chiffonne
435,ADOLF! Il va appeler son fils Adolf Caravati-Larchet!
436,Je suis bien d’accord! Tu me donnes un peu de vin?
437,Je suis désolée Vincent mais tu fais une grimace
438,"Si tu veux que je t'explique, je t'explique"
439,Ah ben c’est pas du vin de messe
440,"Pour vous y rendre, vous devrez emprunter un véritable chemin de croix"
441,Le prénom que vous avez choisi?
442,Elle va s’appeler comment cette petite merveille?
443,"C’était comme Anne-Caroline Gauthier, une “beauté myope”"
444,"Ah ben non, tu préfères sans doute qu'on attende Anna"
445,"Ce serait pas Antoine Flemmadon, par hasard?"
446,Il suffit de voir comment tu tiens ton porte-monnaie
447,"Ah écoute, quand on était petit, il fallait toujours tout compter"
448,C'est important pour elle de savoir
449,Ça nous fait plaisir que tu sois avec nous
450,Tu risques de te prendre une prune
451,"Tu bois des Kirs, toi ?"
452,"Quand je veux entre le 21 et le 22, donc!"
453,C’est dommage que Rolex ne soit pas un prénom
454,"Non, il ne fait pas ce qu’il veut.."
455,Ah mais Claude a toujours été très slip
456,Elles ne sont pas sur le buffet..
457,Oh la la! Oh la la..
458,Ça dure combien de temps ?
459,C'est ce qu'on fait depuis toute à l'heure
460,"Dans ce cas, j'aimerais bien que tu me dises en quoi je suis égoïste, pardon, en quoi je suis ""l'égoïsme"".."
461,Mais c’est effrayant ce que tu peux être Suisse!
462,Alors il ne fallait rien me dire!
463,Elle veut l'avoir toute seule son gamin? Très bien
464,Tu sais ce qui m'a convaincu? C'est le déguisement
465,On dirait une chanson de Bobby Lapointe!
466,Ce qu'il a fait? Mais je ne sais pas..
467,"Bon ben c'était comment, mon amour, avec les Coréens ?"
468,Tu comprends? Tu comprends ce que j'ai ressenti?
469,"""F"" et ""P-H"" c'est pareil? Je pensais que pour un normalien tu serais un peu plus à cheval sur l'orthographe"
470,"Quoi qu'on fasse, tout est politique"
471,Et moi qui croyais qu'on était proches
472,Quelqu'un qui ne mange pas de viande c'est un végétarien
473,"Qu'est ce qui est suffisamment important pour toi, Claude, pour ""mériter"" une engueulade?"
474,"Toi tu prononces encore une fois mon prénom, je te fous ton trombone dans le cul"
475,"Oh écoute Babou il fallait être là, merde!"
476,Il n'a pas de compte à nous rendre
477,"Il n'est ni beau ni laid, il a quatre ans"
478,"A 500 la bouteille, ça peut"
479,"Il y a la montagne Sainte Geneviève, puis la Bièvre doit être souvent en crue.."
480,"Ou alors c'était vraiment des larmes, je ne sais pas.."
481,"Y a pas de ""mais"", ni de ""plutôt"", tu es exclusivement slip"
482,"Ce que t’es bête, c’est pas possible! .."
483,Ben oui! Et puis peut-être que Claude passera..
484,"Attends, qu'est-ce qu'il va nous dire?"
485,Tu m'as dit la même chose quand t'es parti à Toronto
486,elle les trouve très biens vos prénoms!
487,Je gagne quoi si je les retrouve?
488,Toutes tes phrases commencent par JE
489,Je ne veux pas m’en mêler..
490,C'est quelqu'un que tu connais beaucoup mieux
491,"Donc tu trouves qu' Apollin et Myrtille, c'est ridicule.."
492,je l’ai eu tout à l’heure
493,À mon avis elle lui donne la fessée
494,Et il en dit quoi ton psychanalyste?
495,NOTRE pédopsychiatre a dit aussi qu'il fallait que le père soit un peu plus présent
496,"La boîte Minelli, dans le placard"
497,Parce qu’il s’appelera Adolphe du nom du plus grand héros romantique de la littérature Française du 19ème!
498,Je ne tiens pas à participer à votre concours de bistouquette
499,"Le Manet, pas le Picasso! .."
500,On commence par quoi? Cheval-Blanc ou..
501,"Ça va, ça va et vous Françoise?"
502,Dis-leur ou c'est moi qui leur dit
503,Je vais me mettre au milieu de la route devant les chars comme cet étudiant chinois place Tian An Men
